cluster_name,category,mean_cladepp_score,weighted_cladepp_score,positive_correlation_ratio,n_clades_analyzed,total_clades,conservation_level,cladepp_largest_clade_fraction,cladepp_multi_clade_high,cladepp_multi_clade_medium,cladepp_multi_clade_low,cladepp_conservation_consistency,cladepp_max_pair_score
MGC_CANDIDATE_1,MGC_CANDIDATE,0.4589855995689457,0.4224050591655462,0.5041843636882573,116,116,Medium,0.05040611562350693,0.24031007751937986,0.43410852713178294,0.7131782945736435,0.22152762118327862,0.9998070368560682
MGC_CANDIDATE_2,MGC_CANDIDATE,0.3885664890001156,0.3574966513425363,0.5428584455985357,91,91,Medium,0.0016570008285004142,0.09482758620689655,0.29310344827586204,0.4224137931034483,0.0,0.9845718751907664
MGC_CANDIDATE_3,MGC_CANDIDATE,0.4757286588753667,0.5485196375909518,0.5143265486596866,111,111,Medium,0.05070946731798093,0.32222222222222224,0.6111111111111112,0.7555555555555555,0.3465762143258527,0.9987490417132292
MGC_CANDIDATE_4,MGC_CANDIDATE,0.57280401107565,0.5087142869174074,0.6706506787607474,96,96,High,0.012218649517684888,0.019230769230769232,0.11538461538461539,0.5769230769230769,0.07035873732688658,0.8500416338337096
MGC_CANDIDATE_5,MGC_CANDIDATE,0.377932390743182,0.2890720222105443,0.3253451575133906,85,85,Medium,0.00259222333000997,0.02459016393442623,0.23770491803278687,0.3114754098360656,0.0,0.9775460565110214
MGC_CANDIDATE_6,MGC_CANDIDATE,0.3779342114743358,0.3288594597662739,0.487719302471334,99,99,Medium,0.001344688480502017,0.014705882352941176,0.25,0.47058823529411764,0.22551300285429077,0.8942662309305677
MGC_CANDIDATE_7,MGC_CANDIDATE,0.5790347012397696,0.6014140898862687,0.5370878620262921,91,91,High,0.04872546808030679,0.16216216216216217,0.5405405405405406,0.6666666666666666,0.29194173919972244,0.9985036708790056
MGC_CANDIDATE_8,MGC_CANDIDATE,0.4890085114630575,0.4832419089322181,0.5130244385876775,101,101,High,0.0058581037101323495,0.1259259259259259,0.48148148148148145,0.674074074074074,0.3267684464455951,0.9802727994850148
MGC_CANDIDATE_9,MGC_CANDIDATE,0.3518352905998138,0.3782979806247709,0.3152191810619324,93,93,Medium,0.05316172355903749,0.12931034482758622,0.4051724137931034,0.47413793103448276,0.0,0.9985357146241144
MGC_CANDIDATE_10,MGC_CANDIDATE,0.4640699088336835,0.4873543666871684,0.5529855262013729,94,94,Medium,0.000819672131147541,0.01,0.02,0.06,0.0,0.9164204232085652
MGC_CANDIDATE_11,MGC_CANDIDATE,0.3525069778670979,0.3300776515513128,0.4427831767956119,83,83,Medium,0.03200673826068646,0.05154639175257732,0.44329896907216493,0.5876288659793815,0.36734500644636825,0.9644103761235956
MGC_CANDIDATE_12,MGC_CANDIDATE,0.3522505703290585,0.3350225763662575,0.2045724623147415,86,86,Medium,0.05885634588563459,0.2644628099173554,0.4793388429752066,0.6942148760330579,0.19645821564947485,0.9937978849259068
MGC_CANDIDATE_13,MGC_CANDIDATE,0.4307336159166731,0.4141362102312872,0.5632633993388911,104,104,Medium,0.048966756513926325,0.2653061224489796,0.5102040816326531,0.673469387755102,0.2821530173148644,0.9720622434707668
MGC_CANDIDATE_14,MGC_CANDIDATE,0.1917172208674502,0.2278433802954944,0.4293581401433696,112,112,Medium,0.001003260596940055,0.041237113402061855,0.061855670103092786,0.4536082474226804,0.0,0.9247506749581504
MGC_CANDIDATE_15,MGC_CANDIDATE,0.2126066123743046,0.2272939515821304,0.1770733440711756,91,91,Medium,0.05462290152843899,0.12380952380952381,0.4666666666666667,0.7523809523809524,0.3302742212097156,0.9957625101319448
MGC_CANDIDATE_16,MGC_CANDIDATE,0.3415423130071761,0.4061514249102561,0.3288621558408539,86,86,Medium,0.017142857142857144,0.0,0.14035087719298245,0.5614035087719298,0.25172236528086833,0.7726740298469631
MGC_CANDIDATE_17,MGC_CANDIDATE,0.2915770287549123,0.3160922238774969,0.4155200081789276,105,105,Medium,0.053691275167785234,0.04081632653061224,0.3673469387755102,0.5408163265306123,0.14750135898246342,0.9983084145549368
MGC_CANDIDATE_18,MGC_CANDIDATE,0.4387500291848158,0.4359603075470658,0.4454267747153874,100,100,Medium,0.04185867895545315,0.10091743119266056,0.5596330275229358,0.7247706422018348,0.34322303142582267,0.9800911599801904
MGC_CANDIDATE_19,MGC_CANDIDATE,0.3032001300246977,0.2722930764850754,0.3028026990213882,91,91,Medium,0.00451559934318555,0.1592920353982301,0.5221238938053098,0.672566371681416,0.31710968411513474,0.992714668538732
MGC_CANDIDATE_20,MGC_CANDIDATE,0.2472755195219161,0.2522586076596353,0.4369723929106575,95,95,Medium,0.06882406563354604,0.06976744186046512,0.3372093023255814,0.5232558139534884,0.1164056030131746,0.9557382298908416
MGC_CANDIDATE_21,MGC_CANDIDATE,0.5664404484734004,0.5629925723525637,0.4310107323325977,84,84,High,0.062264150943396226,0.014705882352941176,0.29411764705882354,0.4852941176470588,0.0,0.8310036897797731
MGC_CANDIDATE_22,MGC_CANDIDATE,0.3788614082760432,0.3753134740355968,0.2999650952626703,76,76,Medium,0.0017667844522968198,0.04424778761061947,0.13274336283185842,0.4424778761061947,0.02936989473217011,0.9964932946259392
MGC_CANDIDATE_23,MGC_CANDIDATE,0.4113888778998907,0.4027867744383422,0.4531711772554765,100,100,Medium,0.005278592375366569,0.07142857142857142,0.25,0.5238095238095238,0.2345637016723655,0.997176464952738
MGC_CANDIDATE_24,MGC_CANDIDATE,0.2458954261489276,0.1954263069355039,0.0839409667613575,88,88,Medium,0.046671579464505036,0.08620689655172414,0.3879310344827586,0.49137931034482757,0.0,0.9967747558970832
MGC_CANDIDATE_25,MGC_CANDIDATE,0.3435279558501572,0.386841328333021,0.3062270375098508,97,97,Medium,0.0011148272017837235,0.0625,0.14583333333333334,0.5833333333333334,0.3849710344445586,0.9991988416400336
MGC_CANDIDATE_26,MGC_CANDIDATE,0.4162013151988241,0.4141014343419624,0.3779847521913014,105,105,Medium,0.006325110689437065,0.08860759493670886,0.20253164556962025,0.3291139240506329,0.0,0.999746818039636
MGC_CANDIDATE_27,MGC_CANDIDATE,0.2762548122638666,0.2371853893576585,0.3724321942860981,84,84,Medium,0.0014831294030404152,0.010752688172043012,0.07526881720430108,0.3118279569892473,0.0,0.9886540462187434
MGC_CANDIDATE_28,MGC_CANDIDATE,0.445564910234535,0.4670305660568095,0.5148502136847269,104,104,Medium,0.002204261572373255,0.1794871794871795,0.3717948717948718,0.7564102564102564,0.49385661545753357,0.9979620627044048
