name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,category,cluster_name,foldseek_match_coverage,foldseek_core_module_fraction,foldseek_network_density,foldseek_multi_match_fraction
MGC_CANDIDATE_454,16,256,16,12,11.234,7.233999999999999,0.702125,0.6028333333333332,0.0303819696969696,0.1743042446326815,0.501,0.4905,0.88525,0.468,1.0,0.625,0.375,0.0,2.772588722239781,4.0,0.3,2.3404166666666666,medium,2.307029302972021,2.307029302972021,MGC,MGC_CANDIDATE_454,0.625,0.5,0.390625,1.0
MGC_CANDIDATE_253,16,256,16,12,13.506,9.506,0.844125,0.7921666666666667,0.003941606060606,0.0627822113389299,0.7929999999999999,0.7605,0.91075,0.711,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.81375,medium,8.666865795193797,8.666865795193797,MGC,MGC_CANDIDATE_253,1.0,0.5,1.0,1.0
MGC_CANDIDATE_133,16,256,16,12,14.572,10.572,0.91075,0.8809999999999999,8.472727272727287e-05,0.0092047418609797,0.8805000000000001,0.87775,0.922,0.867,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,3.035833333333333,medium,66.35167060893461,66.35167060893461,MGC,MGC_CANDIDATE_133,1.0,0.5,1.0,1.0
MGC_CANDIDATE_138,16,256,16,12,12.195,8.195,0.7621875,0.6829166666666667,0.0129060833333333,0.1136049441412359,0.6725,0.6185,0.9115,0.56,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.5406250000000004,medium,4.0683748713031305,4.0683748713031305,MGC,MGC_CANDIDATE_138,1.0,0.5,1.0,1.0
MGC_CANDIDATE_588,9,81,9,6,8.083,5.083,0.8981111111111111,0.8471666666666667,0.0075157666666666,0.0866935214803658,0.795,0.795,1.0,0.787,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.993703703703704,small,6.89914426012294,6.89914426012294,MGC,MGC_CANDIDATE_588,1.0,0.5,1.0,1.0
MGC_CANDIDATE_626,10,100,10,6,8.629000000000001,4.629,0.8629000000000001,0.7715,8.830000000000015e-05,0.0093968079686668,0.768,0.768,1.0,0.76,1.0,1.0,0.0,0.0,2.302585092994045,3.1622776601683795,0.3,2.8763333333333336,small,59.9033205612972,59.9033205612972,MGC,MGC_CANDIDATE_626,1.0,0.5,1.0,1.0
MGC_CANDIDATE_624,49,2401,49,42,35.615,28.615,0.7268367346938776,0.6813095238095238,0.0043225116144018,0.0657458106224408,0.665,0.64,0.767,0.556,1.0,1.0,0.0,0.0,3.8918202981106265,7.0,0.3,2.4227891156462587,medium,6.4922271191555785,6.4922271191555785,MGC,MGC_CANDIDATE_624,1.0,0.5,1.0,1.0
MGC_CANDIDATE_233,16,256,16,12,10.131,6.130999999999999,0.6331875,0.5109166666666666,0.0134477196969696,0.1159643035462624,0.47,0.447,0.81175,0.417,1.0,0.5,0.5,0.0,2.772588722239781,4.0,0.3,2.110625,medium,2.873190195697413,2.873190195697413,MGC,MGC_CANDIDATE_233,0.5,0.5,0.25,1.0
MGC_CANDIDATE_137,9,81,9,6,7.842,4.842,0.8713333333333334,0.8069999999999999,0.0023335999999999,0.048307349337342,0.795,0.795,1.0,0.76,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.9044444444444446,small,11.827047875129168,11.827047875129168,MGC,MGC_CANDIDATE_137,1.0,0.5,1.0,1.0
MGC_CANDIDATE_221,9,81,9,6,7.67,4.67,0.8522222222222222,0.7783333333333333,0.0031690666666666,0.0562944639078006,0.743,0.743,1.0,0.741,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.840740740740741,small,9.809529816762351,9.809529816762351,MGC,MGC_CANDIDATE_221,1.0,0.5,1.0,1.0
MGC_CANDIDATE_27,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_27,1.0,0.3,1.0,1.0
MGC_CANDIDATE_913,9,81,9,6,6.022,3.022,0.6691111111111111,0.5036666666666666,0.0213526666666666,0.1461255168225818,0.436,0.436,1.0,0.384,1.0,0.5555555555555556,0.4444444444444444,0.0,2.197224577336219,3.0,0.3,2.2303703703703706,small,2.525986693749504,2.525986693749504,MGC,MGC_CANDIDATE_913,0.5555555555555556,0.5,0.308641975308642,1.0
MGC_CANDIDATE_47,9,81,9,6,7.598000000000001,4.598,0.8442222222222223,0.7663333333333333,0.0005390666666666,0.023217809256402,0.759,0.759,1.0,0.741,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.8140740740740746,small,23.439861022725896,23.439861022725896,MGC,MGC_CANDIDATE_47,1.0,0.5,1.0,1.0
MGC_CANDIDATE_444,9,81,9,6,8.054,5.054,0.894888888888889,0.8423333333333334,0.0034018666666666,0.0583255232866938,0.819,0.819,1.0,0.792,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.982962962962964,small,10.199460808345709,10.199460808345709,MGC,MGC_CANDIDATE_444,1.0,0.5,1.0,1.0
MGC_CANDIDATE_21,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_21,1.0,0.3,1.0,1.0
MGC_CANDIDATE_24,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_24,1.0,0.3,1.0,1.0
MGC_CANDIDATE_23,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_23,1.0,0.3,1.0,1.0
MGC_CANDIDATE_8,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_8,1.0,0.3,1.0,1.0
MGC_CANDIDATE_1,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_1,1.0,0.3,1.0,1.0
MGC_CANDIDATE_12,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_12,1.0,0.3,1.0,1.0
MGC_CANDIDATE_9,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_9,1.0,0.3,1.0,1.0
MGC_CANDIDATE_5,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_5,1.0,0.3,1.0,1.0
MGC_CANDIDATE_17,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_17,1.0,0.3,1.0,1.0
MGC_CANDIDATE_239,25,625,25,20,15.505,10.505,0.6202000000000001,0.52525,0.0033670394736842,0.0580261964433669,0.5075000000000001,0.484,0.644,0.465,1.0,0.6,0.4,0.0,3.218875824868201,5.0,0.3,2.067333333333334,medium,5.518197290641176,5.518197290641176,MGC,MGC_CANDIDATE_239,0.6,0.5,0.36,1.0
MGC_CANDIDATE_14,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_14,1.0,0.3,1.0,1.0
MGC_CANDIDATE_13,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_13,1.0,0.3,1.0,1.0
MGC_CANDIDATE_6,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_6,1.0,0.3,1.0,1.0
MGC_CANDIDATE_448,16,256,16,12,15.148,11.148,0.94675,0.929,0.0006792727272727,0.0260628610722753,0.9245,0.90875,0.979,0.904,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,3.1558333333333333,medium,24.8150039324726,24.8150039324726,MGC,MGC_CANDIDATE_448,1.0,0.5,1.0,1.0
MGC_CANDIDATE_20,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_20,1.0,0.3,1.0,1.0
MGC_CANDIDATE_16,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_16,1.0,0.3,1.0,1.0
MGC_CANDIDATE_11,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_11,1.0,0.3,1.0,1.0
MGC_CANDIDATE_7,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_7,1.0,0.3,1.0,1.0
MGC_CANDIDATE_42,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_42,1.0,0.3,1.0,1.0
MGC_CANDIDATE_45,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_45,1.0,0.3,1.0,1.0
MGC_CANDIDATE_18,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_18,1.0,0.3,1.0,1.0
MGC_CANDIDATE_15,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_15,1.0,0.3,1.0,1.0
MGC_CANDIDATE_26,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_26,1.0,0.3,1.0,1.0
MGC_CANDIDATE_3,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_3,1.0,0.3,1.0,1.0
MGC_CANDIDATE_215,49,2401,49,42,28.036,21.036,0.5721632653061225,0.5008571428571428,0.0076675888501742,0.0875647694576661,0.4705,0.446,0.553,0.424,1.0,0.4285714285714285,0.5714285714285714,0.0,3.8918202981106265,7.0,0.3,1.9072108843537416,medium,3.1081366055294875,3.1081366055294875,MGC,MGC_CANDIDATE_215,0.4285714285714285,0.5,0.183673469387755,1.0
MGC_CANDIDATE_25,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_25,1.0,0.3,1.0,1.0
MGC_CANDIDATE_50,25,625,25,20,22.692,17.692,0.90768,0.8846,0.0009093052631578,0.0301546889083256,0.8805000000000001,0.87,0.946,0.839,1.0,1.0,0.0,0.0,3.218875824868201,5.0,0.3,3.0256000000000003,medium,20.15208984073524,20.15208984073524,MGC,MGC_CANDIDATE_50,1.0,0.5,1.0,1.0
MGC_CANDIDATE_243,9,81,9,6,8.754,5.754,0.9726666666666666,0.959,0.00074,0.0272029410174709,0.944,0.944,1.0,0.939,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.242222222222222,small,24.727718456421705,24.727718456421705,MGC,MGC_CANDIDATE_243,1.0,0.5,1.0,1.0
MGC_CANDIDATE_615,9,81,9,6,7.183999999999999,4.184,0.7982222222222222,0.6973333333333334,0.0008458666666666,0.0290837870069677,0.704,0.704,1.0,0.662,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.660740740740741,small,17.130582826193194,17.130582826193194,MGC,MGC_CANDIDATE_615,1.0,0.5,1.0,1.0
MGC_CANDIDATE_467,9,81,9,6,8.198,5.198,0.910888888888889,0.8663333333333333,0.0104458666666666,0.1022050227076275,0.835,0.835,1.0,0.771,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.0362962962962965,small,5.977092638944234,5.977092638944234,MGC,MGC_CANDIDATE_467,1.0,0.5,1.0,1.0
MGC_CANDIDATE_43,5,25,5,2,3.814,0.814,0.7628,0.407,0.0,0.0,0.407,0.407,1.0,0.407,1.0,0.6,0.4,0.0,1.6094379124341005,2.23606797749979,0.3,2.542666666666667,small,0.0,0.0,MGC,MGC_CANDIDATE_43,0.6,0.5,0.36,1.0
MGC_CANDIDATE_218,9,81,9,6,7.604,4.604,0.8448888888888889,0.7673333333333333,0.0013458666666666,0.0366860554797959,0.751,0.751,1.0,0.737,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.8162962962962963,small,14.85275213599824,14.85275213599824,MGC,MGC_CANDIDATE_218,1.0,0.5,1.0,1.0
MGC_CANDIDATE_135,16,256,16,12,13.821,9.820999999999998,0.8638125,0.8184166666666665,0.0022146287878787,0.0470598426248833,0.831,0.81875,0.91225,0.732,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.879375,medium,11.98075617239482,11.98075617239482,MGC,MGC_CANDIDATE_135,1.0,0.5,1.0,1.0
MGC_CANDIDATE_126,16,256,16,12,10.819,6.819000000000001,0.6761874999999999,0.56825,0.0327583863636363,0.1809927798660387,0.511,0.4755,0.9595,0.446,1.0,0.625,0.375,0.0,2.772588722239781,4.0,0.3,2.2539583333333333,medium,2.07846688844955,2.07846688844955,MGC,MGC_CANDIDATE_126,0.625,0.5,0.390625,1.0
MGC_CANDIDATE_132,9,81,9,6,6.741,3.741,0.749,0.6235,0.0173679,0.1317873286776843,0.5585,0.549,1.0,0.52,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.4966666666666666,small,3.4070043342188905,3.4070043342188905,MGC,MGC_CANDIDATE_132,1.0,0.5,1.0,1.0
MGC_CANDIDATE_128,1,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3,3.333333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_128,1.0,0.3,1.0,1.0
MGC_CANDIDATE_10,6,36,6,2,4.308,0.308,0.718,0.154,0.0,0.0,0.154,0.3655,1.0,0.154,1.0,0.6666666666666666,0.0,0.3333333333333333,1.791759469228055,2.449489742783178,0.3,2.393333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_10,0.6666666666666666,0.3,0.4444444444444444,0.6666666666666666
MGC_CANDIDATE_136,9,81,9,6,8.786,5.786,0.9762222222222222,0.9643333333333332,0.0005346666666666,0.0231228602613661,0.9515,0.949,1.0,0.946,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.254074074074074,small,29.244748036299747,29.244748036299747,MGC,MGC_CANDIDATE_136,1.0,0.5,1.0,1.0
MGC_CANDIDATE_127,9,81,9,6,7.273,4.273,0.8081111111111111,0.7121666666666666,0.0005117666666666,0.022622260423456,0.726,0.726,1.0,0.683,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.693703703703704,small,22.46066934072924,22.46066934072924,MGC,MGC_CANDIDATE_127,1.0,0.5,1.0,1.0
MGC_CANDIDATE_125,9,81,9,6,8.466,5.466,0.9406666666666664,0.911,0.0007735999999999,0.0278136657059079,0.904,0.904,1.0,0.884,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.1355555555555554,small,23.034240557891728,23.034240557891728,MGC,MGC_CANDIDATE_125,1.0,0.5,1.0,1.0
MGC_CANDIDATE_44,16,256,16,12,13.047,9.047,0.8154375,0.7539166666666666,0.0060571742424242,0.0778278500436973,0.757,0.722,0.9055,0.648,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.718125,medium,6.62278991017485,6.62278991017485,MGC,MGC_CANDIDATE_44,1.0,0.5,1.0,1.0
MGC_CANDIDATE_222,16,256,16,12,12.571,8.570999999999998,0.7856875,0.7142499999999998,0.0178492954545454,0.1336012554377594,0.6725,0.619,0.9805,0.604,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.618958333333333,medium,3.6353513176847816,3.6353513176847816,MGC,MGC_CANDIDATE_222,1.0,0.5,1.0,1.0
MGC_CANDIDATE_19,9,81,9,6,7.2,4.2,0.8,0.7000000000000001,0.0124151999999999,0.1114235163688527,0.642,0.642,1.0,0.615,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.666666666666667,small,4.48738306144294,4.48738306144294,MGC,MGC_CANDIDATE_19,1.0,0.5,1.0,1.0
MGC_CANDIDATE_140,9,81,9,6,7.880000000000001,4.88,0.8755555555555556,0.8133333333333334,0.0002162666666666,0.0147060078426017,0.807,0.807,1.0,0.801,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.918518518518519,small,39.13744380634902,39.13744380634902,MGC,MGC_CANDIDATE_140,1.0,0.5,1.0,1.0
MGC_CANDIDATE_220,36,1296,36,30,32.585,26.585,0.9051388888888888,0.8861666666666667,0.0052420057471264,0.072401697128772,0.872,0.81475,0.979,0.794,1.0,1.0,0.0,0.0,3.58351893845611,6.0,0.3,3.01712962962963,medium,8.358076024276096,8.358076024276096,MGC,MGC_CANDIDATE_220,1.0,0.5,1.0,1.0
MGC_CANDIDATE_476,25,625,25,20,24.398,19.398,0.97592,0.9699,0.0002847263157894,0.0168738352424537,0.9755,0.962,0.992,0.944,1.0,1.0,0.0,0.0,3.218875824868201,5.0,0.3,3.2530666666666668,medium,40.05728337914657,40.05728337914657,MGC,MGC_CANDIDATE_476,1.0,0.5,1.0,1.0
MGC_CANDIDATE_49,5,25,5,2,4.664,1.664,0.9328,0.832,0.0,0.0,0.832,0.832,1.0,0.832,1.0,1.0,0.0,0.0,1.6094379124341005,2.23606797749979,0.3,3.1093333333333333,small,0.0,0.0,MGC,MGC_CANDIDATE_49,1.0,0.5,1.0,1.0
MGC_CANDIDATE_130,16,256,16,12,15.354,11.354,0.959625,0.9461666666666666,0.0003110606060606,0.0176369103320452,0.9445,0.9375,0.979,0.922,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,3.19875,medium,37.400258184762585,37.400258184762585,MGC,MGC_CANDIDATE_130,1.0,0.5,1.0,1.0
MGC_CANDIDATE_2,9,81,9,6,5.213000000000001,2.213,0.5792222222222223,0.3688333333333333,0.0005945666666666,0.0243837377501208,0.3655,0.365,1.0,0.336,1.0,0.3333333333333333,0.6666666666666666,0.0,2.197224577336219,3.0,0.3,1.930740740740741,small,11.4511657352794,11.4511657352794,MGC,MGC_CANDIDATE_2,0.3333333333333333,0.3,0.1111111111111111,1.0
MGC_CANDIDATE_129,25,625,25,20,20.182,15.182,0.8072800000000001,0.7591,0.0013868315789473,0.0372401876867903,0.7575000000000001,0.75,0.822,0.706,1.0,1.0,0.0,0.0,3.218875824868201,5.0,0.3,2.6909333333333336,medium,13.621843269601468,13.621843269601468,MGC,MGC_CANDIDATE_129,1.0,0.5,1.0,1.0
MGC_CANDIDATE_48,9,81,9,6,8.872,5.872,0.9857777777777778,0.9786666666666668,3.466666666666673e-06,0.0018618986725025,0.978,0.978,1.0,0.977,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.285925925925926,small,368.3217502142813,368.3217502142813,MGC,MGC_CANDIDATE_48,1.0,0.5,1.0,1.0
MGC_CANDIDATE_344,16,256,16,12,13.858,9.858,0.866125,0.8215,0.0057104545454545,0.0755675495530624,0.8055,0.75475,0.9565,0.754,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.887083333333333,medium,7.491641628560092,7.491641628560092,MGC,MGC_CANDIDATE_344,1.0,0.5,1.0,1.0
MGC_CANDIDATE_46,9,81,9,6,8.77,5.77,0.9744444444444444,0.9616666666666666,5.306666666666676e-05,0.0072846871358121,0.958,0.958,1.0,0.956,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.2481481481481485,small,92.58385869844966,92.58385869844966,MGC,MGC_CANDIDATE_46,1.0,0.5,1.0,1.0
MGC_CANDIDATE_245,9,81,9,6,6.57,3.57,0.73,0.595,0.0002912,0.0170645832061612,0.605,0.605,1.0,0.573,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.4333333333333336,small,25.19838866294411,25.19838866294411,MGC,MGC_CANDIDATE_245,1.0,0.5,1.0,1.0
MGC_CANDIDATE_4,9,81,9,6,7.842,4.8420000000000005,0.8713333333333334,0.807,0.0041912,0.0647394779095414,0.78,0.78,1.0,0.752,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.9044444444444446,small,8.82511493422361,8.82511493422361,MGC,MGC_CANDIDATE_4,1.0,0.5,1.0,1.0
