name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,total_interactions,mean_score,std_score,median_score,high_score_interactions,medium_score_interactions,low_score_interactions,category
MGC_CANDIDATE_1,20,400,20,20,-62.85,-62.85,-3.1425,-3.1425,110.74725485000002,10.523652163103836,-8.9445,-11.582,7.866,-16.272,12.393,0.0,0.0,1.0,2.995732273553991,4.47213595499958,-30.0,0.1047499999999999,medium,2.5521082969810625,2.5521082969810625,20,-3.1425,10.523652163103836,-8.9445,0,0,20,MGC
MGC_CANDIDATE_10,12,144,12,12,-664.13,-664.13,-55.344166666666666,-55.344166666666666,1546.912491638889,39.33080842849392,-44.6605,-82.261,-21.60575,-139.063,-13.188,0.4166666666666667,0.25,0.3333333333333333,2.4849066497880004,3.4641016151377544,-30.0,1.844805555555556,medium,-0.6443845849938243,-0.6443845849938243,12,-55.344166666666666,39.33080842849392,-44.6605,5,3,4,MGC
MGC_CANDIDATE_2,6,36,6,6,-344.365,-344.365,-57.39416666666667,-57.39416666666667,1771.4835371388888,42.08899543988771,-59.8485,-97.29375,-18.18225,-107.913,-2.686,0.5,0.1666666666666666,0.3333333333333333,1.791759469228055,2.449489742783178,-30.0,1.913138888888889,small,-0.6508629246281615,-0.6508629246281615,6,-57.39416666666667,42.08899543988771,-59.8485,3,1,2,MGC
MGC_CANDIDATE_3,12,144,12,12,27.951,27.951,2.32925,2.32925,95.06962152083332,9.750365199357065,-2.156,-4.00925,8.9225,-10.931,19.588,0.0,0.0,1.0,2.4849066497880004,3.4641016151377544,-30.0,-0.0776416666666666,medium,3.3156963189575483,3.3156963189575483,12,2.32925,9.750365199357065,-2.156,0,0,12,MGC
MGC_CANDIDATE_4,6,36,6,6,82.029,82.029,13.6715,13.6715,8.044831583333336,2.836341231821964,14.474,13.02575,15.29525,8.027,16.942,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.4557166666666666,small,15.397124827588886,15.397124827588886,6,13.6715,2.836341231821964,14.474,0,0,6,MGC
MGC_CANDIDATE_5,6,36,6,6,-644.547,-644.547,-107.4245,-107.4245,808.4240709166667,28.432799210008618,-112.4995,-127.5485,-106.581,-133.966,-48.409,0.8333333333333334,0.1666666666666666,0.0,1.791759469228055,2.449489742783178,-30.0,3.5808166666666668,small,-2.7230699104977973,-2.7230699104977973,6,-107.4245,28.432799210008618,-112.4995,5,1,0,MGC
MGC_CANDIDATE_6,12,144,12,12,-776.635,-776.635,-64.71958333333333,-64.71958333333333,738.8969739097221,27.18265943409,-62.667,-83.98750000000001,-48.42925,-116.316,-12.765,0.6666666666666666,0.25,0.0833333333333333,2.4849066497880004,3.4641016151377544,-30.0,2.157319444444445,medium,-1.27726955552374,-1.27726955552374,12,-64.71958333333333,27.18265943409,-62.667,8,3,1,MGC
MGC_CANDIDATE_7,6,36,6,6,-217.56,-217.56,-36.26,-36.26,546.2444209999999,23.37187243247746,-36.489,-59.37425,-13.6105,-64.091,-7.504,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.791759469228055,2.449489742783178,-30.0,1.2086666666666666,small,-0.267843323982084,-0.267843323982084,6,-36.26,23.37187243247746,-36.489,2,2,2,MGC
MGC_CANDIDATE_8,6,36,6,6,-419.737,-419.737,-69.95616666666666,-69.95616666666666,585.1178738055556,24.18920986319221,-72.4135,-83.48375,-63.0735,-102.879,-24.897,0.8333333333333334,0.0,0.1666666666666666,1.791759469228055,2.449489742783178,-30.0,2.331872222222222,small,-1.6518177688584368,-1.6518177688584368,6,-69.95616666666666,24.18920986319221,-72.4135,5,0,1,MGC
MGC_CANDIDATE_9,6,36,6,6,-339.69800000000004,-339.69800000000004,-56.61633333333334,-56.61633333333334,1852.2722688888896,43.03803281853028,-42.2215,-62.529,-34.4435,-144.65,-9.456,0.3333333333333333,0.5,0.1666666666666666,1.791759469228055,2.449489742783178,-30.0,1.8872111111111112,small,-0.6184374979581668,-0.6184374979581668,6,-56.61633333333334,43.03803281853028,-42.2215,2,3,1,MGC
