group_name,dataset_group,num_promoters,num_comparisons,similarity_score,normalized_similarity,similarity_category,size_adjustment_factor,comparison_weight,std_adjustment_factor,similarity_std,mean_proximal_similarity,mean_distal_similarity,num_tfbs_types_found,status,error_msg
MGC_CANDIDATE_673,KEGG,4,6,52.9,50.94,High Similarity,0.96,0.95,1.0,5.58,0.521,0.548,25.0,success,
MGC_CANDIDATE_674,KEGG,4,6,47.15,45.4,Moderate Similarity,0.96,0.95,1.0,9.42,0.464,0.488,23.0,success,
MGC_CANDIDATE_675,KEGG,5,10,64.25,64.25,High Similarity,1.0,1.0,1.0,8.79,0.625,0.683,22.0,success,
MGC_CANDIDATE_676,KEGG,5,10,65.8,65.8,High Similarity,1.0,1.0,1.0,7.98,0.635,0.712,21.0,success,
MGC_CANDIDATE_680,KEGG,3,3,64.96,57.23,High Similarity,0.92,0.85,0.9,30.35,0.67,0.603,21.0,success,
MGC_CANDIDATE_679,KEGG,3,3,54.01,48.66,Moderate Similarity,0.92,0.85,1.0,6.31,0.524,0.578,22.0,success,
MGC_CANDIDATE_678,KEGG,3,3,53.48,48.19,Moderate Similarity,0.92,0.85,1.0,12.39,0.499,0.618,23.0,success,
MGC_CANDIDATE_677,KEGG,5,10,62.83,62.83,High Similarity,1.0,1.0,1.0,10.98,0.574,0.754,18.0,success,
MGC_CANDIDATE_681,KEGG,3,3,73.5,66.23,High Similarity,0.92,0.85,1.0,5.12,0.768,0.657,23.0,success,
MGC_CANDIDATE_684,KEGG,4,6,68.09,65.57,High Similarity,0.96,0.95,1.0,8.22,0.659,0.733,26.0,success,
MGC_CANDIDATE_686,KEGG,4,6,62.33,60.02,High Similarity,0.96,0.95,1.0,1.85,0.62,0.631,21.0,success,
MGC_CANDIDATE_685,KEGG,5,10,66.55,66.55,High Similarity,1.0,1.0,1.0,6.08,0.659,0.68,26.0,success,
MGC_CANDIDATE_683,KEGG,6,15,63.03,62.4,High Similarity,0.967,1.0,1.0,9.43,0.583,0.741,26.0,success,
MGC_CANDIDATE_687,KEGG,4,6,49.18,47.36,Moderate Similarity,0.96,0.95,1.0,8.43,0.442,0.607,24.0,success,
MGC_CANDIDATE_689,KEGG,3,3,56.37,50.79,High Similarity,0.92,0.85,1.0,2.31,0.569,0.552,23.0,success,
MGC_CANDIDATE_690,KEGG,3,3,50.47,45.48,Moderate Similarity,0.92,0.85,1.0,1.05,0.457,0.615,23.0,success,
MGC_CANDIDATE_688,KEGG,5,10,50.84,50.84,High Similarity,1.0,1.0,1.0,7.51,0.545,0.423,23.0,success,
MGC_CANDIDATE_691,KEGG,3,3,53.47,48.17,Moderate Similarity,0.92,0.85,1.0,3.83,0.577,0.435,22.0,success,
MGC_CANDIDATE_682,KEGG,8,28,57.78,56.48,High Similarity,0.925,1.0,1.0,12.19,0.521,0.71,26.0,success,
MGC_CANDIDATE_694,KEGG,3,3,37.89,34.14,Moderate Similarity,0.92,0.85,1.0,3.92,0.335,0.481,22.0,success,
MGC_CANDIDATE_692,KEGG,4,6,50.7,47.81,Moderate Similarity,0.96,0.95,0.9,20.26,0.444,0.653,20.0,success,
MGC_CANDIDATE_693,KEGG,5,10,58.69,58.69,High Similarity,1.0,1.0,1.0,4.94,0.582,0.599,24.0,success,
