cluster_name,category,mean_cladepp_score,weighted_cladepp_score,positive_correlation_ratio,n_clades_analyzed,total_clades,conservation_level
MGC_CANDIDATE_1,MGC_CANDIDATE,0.4589855995689457,0.42240505916554627,0.5041843636882573,116,116,Medium
MGC_CANDIDATE_2,MGC_CANDIDATE,0.3885664890001156,0.35749665134253633,0.5428584455985357,91,91,Medium
MGC_CANDIDATE_3,MGC_CANDIDATE,0.47572865887536675,0.5485196375909518,0.5143265486596866,111,111,Medium
MGC_CANDIDATE_4,MGC_CANDIDATE,0.57280401107565,0.5087142869174074,0.6706506787607474,96,96,High
MGC_CANDIDATE_5,MGC_CANDIDATE,0.377932390743182,0.2890720222105443,0.32534515751339066,85,85,Medium
MGC_CANDIDATE_6,MGC_CANDIDATE,0.37793421147433587,0.32885945976627395,0.48771930247133405,99,99,Medium
MGC_CANDIDATE_7,MGC_CANDIDATE,0.5790347012397696,0.6014140898862687,0.5370878620262921,91,91,High
MGC_CANDIDATE_8,MGC_CANDIDATE,0.48900851146305757,0.4832419089322181,0.5130244385876775,101,101,High
MGC_CANDIDATE_9,MGC_CANDIDATE,0.3518352905998138,0.3782979806247709,0.3152191810619324,93,93,Medium
MGC_CANDIDATE_10,MGC_CANDIDATE,0.4640699088336835,0.4873543666871684,0.5529855262013729,94,94,Medium
MGC_CANDIDATE_11,MGC_CANDIDATE,0.35250697786709795,0.3300776515513128,0.44278317679561197,83,83,Medium
MGC_CANDIDATE_12,MGC_CANDIDATE,0.3522505703290585,0.3350225763662575,0.20457246231474158,86,86,Medium
MGC_CANDIDATE_13,MGC_CANDIDATE,0.43073361591667314,0.41413621023128727,0.5632633993388911,104,104,Medium
MGC_CANDIDATE_14,MGC_CANDIDATE,0.1917172208674502,0.22784338029549445,0.4293581401433696,112,112,Medium
MGC_CANDIDATE_15,MGC_CANDIDATE,0.21260661237430464,0.2272939515821304,0.17707334407117561,91,91,Medium
MGC_CANDIDATE_16,MGC_CANDIDATE,0.3415423130071761,0.4061514249102561,0.3288621558408539,86,86,Medium
MGC_CANDIDATE_17,MGC_CANDIDATE,0.29157702875491237,0.31609222387749697,0.41552000817892765,105,105,Medium
MGC_CANDIDATE_18,MGC_CANDIDATE,0.43875002918481587,0.43596030754706583,0.44542677471538744,100,100,Medium
MGC_CANDIDATE_19,MGC_CANDIDATE,0.3032001300246977,0.27229307648507545,0.30280269902138823,91,91,Medium
MGC_CANDIDATE_20,MGC_CANDIDATE,0.24727551952191615,0.2522586076596353,0.4369723929106575,95,95,Medium
MGC_CANDIDATE_21,MGC_CANDIDATE,0.5664404484734004,0.5629925723525637,0.4310107323325977,84,84,High
MGC_CANDIDATE_22,MGC_CANDIDATE,0.3788614082760432,0.3753134740355968,0.2999650952626703,76,76,Medium
MGC_CANDIDATE_23,MGC_CANDIDATE,0.41138887789989076,0.4027867744383422,0.45317117725547656,100,100,Medium
MGC_CANDIDATE_24,MGC_CANDIDATE,0.24589542614892762,0.19542630693550392,0.08394096676135757,88,88,Medium
MGC_CANDIDATE_25,MGC_CANDIDATE,0.3435279558501572,0.386841328333021,0.30622703750985086,97,97,Medium
MGC_CANDIDATE_26,MGC_CANDIDATE,0.41620131519882414,0.41410143434196245,0.37798475219130145,105,105,Medium
MGC_CANDIDATE_27,MGC_CANDIDATE,0.2762548122638666,0.23718538935765854,0.37243219428609814,84,84,Medium
MGC_CANDIDATE_28,MGC_CANDIDATE,0.445564910234535,0.4670305660568095,0.5148502136847269,104,104,Medium
MGC_CANDIDATE_29,MGC_CANDIDATE,0.3372891692880045,0.30842274225241206,0.1689664444050723,99,99,Medium
MGC_CANDIDATE_30,MGC_CANDIDATE,0.3715511631479256,0.392437563379675,0.30223882897947063,99,99,Medium
MGC_CANDIDATE_31,MGC_CANDIDATE,0.33717073670375985,0.36689761253482145,0.26816510829439977,106,106,Medium
MGC_CANDIDATE_32,MGC_CANDIDATE,0.6093176506620412,0.671445901764433,0.5876600629870071,89,89,High
MGC_CANDIDATE_33,MGC_CANDIDATE,0.4024031577765631,0.3959278178820663,0.2926484388156284,74,74,Medium
MGC_CANDIDATE_34,MGC_CANDIDATE,0.2865998579787906,0.27474099417030123,0.33176465217595724,92,92,Medium
MGC_CANDIDATE_35,MGC_CANDIDATE,0.49512023075224365,0.4641485610243813,0.42570152382186927,111,111,High
MGC_CANDIDATE_36,MGC_CANDIDATE,0.26850843921821366,0.24910719846219911,0.32737063281858597,76,76,Medium
MGC_CANDIDATE_37,MGC_CANDIDATE,0.42706297268602733,0.4263271404418788,0.42677754830285763,96,96,Medium
MGC_CANDIDATE_38,MGC_CANDIDATE,0.18657258326173287,0.18266681566789797,0.08926506936069392,90,90,Medium
MGC_CANDIDATE_39,MGC_CANDIDATE,0.25660416717716406,0.2354265273444458,0.3954318974517137,96,96,Medium
MGC_CANDIDATE_40,MGC_CANDIDATE,0.42573191105788577,0.3770373441503474,0.5675045744861901,94,94,Medium
MGC_CANDIDATE_41,MGC_CANDIDATE,0.485795943721491,0.480512616874069,0.5148304752424689,103,103,High
MGC_CANDIDATE_42,MGC_CANDIDATE,0.4229047423839677,0.40454231920794087,0.39898412109956594,120,120,Medium
MGC_CANDIDATE_43,MGC_CANDIDATE,0.3910746054831441,0.34643864160437454,0.28544532414566615,100,100,Medium
MGC_CANDIDATE_44,MGC_CANDIDATE,0.37050760015914785,0.4012808874535996,0.4776189371463909,106,106,Medium
MGC_CANDIDATE_45,MGC_CANDIDATE,0.23993191126825228,0.28245007133326394,0.3221958647705655,98,98,Medium
MGC_CANDIDATE_46,MGC_CANDIDATE,0.3240692772890268,0.355263803972307,0.24266968278772427,97,97,Medium
MGC_CANDIDATE_47,MGC_CANDIDATE,0.35281516030055954,0.32740583542195706,0.28413388693247793,103,103,Medium
MGC_CANDIDATE_48,MGC_CANDIDATE,0.5211348548876777,0.5185172109486947,0.566826901305249,93,93,High
MGC_CANDIDATE_49,MGC_CANDIDATE,0.44200726831314235,0.5100953476097275,0.3244628935780256,72,72,Medium
MGC_CANDIDATE_50,MGC_CANDIDATE,0.2083788467702728,0.1839214289686073,0.14581020439533365,100,100,Medium
MGC_CANDIDATE_51,MGC_CANDIDATE,0.43984091220588273,0.47426264764679354,0.3357843457086196,83,83,Medium
MGC_CANDIDATE_52,MGC_CANDIDATE,0.3611943751018305,0.30889042415572826,0.2603609741383953,82,82,Medium
MGC_CANDIDATE_53,MGC_CANDIDATE,0.3288293501660692,0.3842054500344145,0.25682290074629904,104,104,Medium
MGC_CANDIDATE_54,MGC_CANDIDATE,0.47173490043245225,0.45143546248364763,0.5623353158830066,84,84,Medium
MGC_CANDIDATE_55,MGC_CANDIDATE,0.5182378470448009,0.6337553291213954,0.3427831990107639,101,101,High
MGC_CANDIDATE_56,MGC_CANDIDATE,0.5071789652099864,0.5948227261311866,0.5505273932078835,94,94,High
MGC_CANDIDATE_57,MGC_CANDIDATE,0.31083077667460934,0.3075225888791036,0.3366255099556291,89,89,Medium
MGC_CANDIDATE_58,MGC_CANDIDATE,0.3696083475181003,0.3430185244030021,0.46644272392659336,109,109,Medium
MGC_CANDIDATE_59,MGC_CANDIDATE,0.4406371145426552,0.44921964473442483,0.4663420132557051,95,95,Medium
MGC_CANDIDATE_60,MGC_CANDIDATE,0.5120879545978696,0.5028622309246191,0.4742040221312563,85,85,High
MGC_CANDIDATE_61,MGC_CANDIDATE,0.35075957702295735,0.3366742311935898,0.26922860447897085,106,106,Medium
MGC_CANDIDATE_62,MGC_CANDIDATE,0.38331041948798267,0.31975321077088353,0.4823515868789278,112,112,Medium
MGC_CANDIDATE_63,MGC_CANDIDATE,0.28120745138273145,0.26673782119679573,0.3309022598082607,82,82,Medium
MGC_CANDIDATE_64,MGC_CANDIDATE,0.27124068538945356,0.24111997357986945,0.2219271195078321,101,101,Medium
MGC_CANDIDATE_65,MGC_CANDIDATE,0.4940091137035165,0.5212610131562874,0.5849002861201826,109,109,High
MGC_CANDIDATE_66,MGC_CANDIDATE,0.5543070191685042,0.6092427978971566,0.5097191976478929,90,90,High
MGC_CANDIDATE_67,MGC_CANDIDATE,0.39591407751674096,0.42523879993122266,0.3958198909673414,87,87,Medium
MGC_CANDIDATE_68,MGC_CANDIDATE,0.5151917983762254,0.5328306821906671,0.4547434275217624,93,93,High
MGC_CANDIDATE_69,MGC_CANDIDATE,0.4440054351777826,0.4061358978265724,0.4973896256178055,85,85,Medium
MGC_CANDIDATE_70,MGC_CANDIDATE,0.3323562192142917,0.3391828416348582,0.23293708419530368,89,89,Medium
MGC_CANDIDATE_71,MGC_CANDIDATE,0.4439787726508831,0.4791758621984462,0.41411990384426794,87,87,Medium
MGC_CANDIDATE_72,MGC_CANDIDATE,0.574468255221076,0.5407908824636822,0.5090128768959645,97,97,High
MGC_CANDIDATE_73,MGC_CANDIDATE,0.39992689226270633,0.4046854792357029,0.426298088428908,102,102,Medium
MGC_CANDIDATE_74,MGC_CANDIDATE,0.5774189814297732,0.5690197531584337,0.6162677732538765,89,89,High
MGC_CANDIDATE_75,MGC_CANDIDATE,0.11337026795644733,0.1322165634340081,0.0029541752472797833,101,101,Low
MGC_CANDIDATE_76,MGC_CANDIDATE,0.49504898773521233,0.5372047919722633,0.5356921266176868,87,87,High
MGC_CANDIDATE_77,MGC_CANDIDATE,0.4135535198676132,0.43874553002758676,0.2658811814985096,89,89,Medium
MGC_CANDIDATE_78,MGC_CANDIDATE,0.37074008483333526,0.3070953667770152,0.5899374019772313,106,106,Medium
MGC_CANDIDATE_79,MGC_CANDIDATE,0.4140762701177872,0.42123305367829217,0.3629289631897773,87,87,Medium
MGC_CANDIDATE_80,MGC_CANDIDATE,0.18347860737076097,0.1806344425644763,0.2884046738676552,103,103,Medium
MGC_CANDIDATE_81,MGC_CANDIDATE,0.3795383876388199,0.3733269720516882,0.3996550268954033,92,92,Medium
MGC_CANDIDATE_82,MGC_CANDIDATE,0.44350378418065267,0.3741658050406593,0.46768333428256975,87,87,Medium
MGC_CANDIDATE_83,MGC_CANDIDATE,0.5677984495618341,0.5060351158395769,0.4511910569772084,105,105,High
