name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,category,foldseek_match_coverage
MGC_CANDIDATE_6,16,256,16,12,12.975,8.975,0.8109375,0.7479166666666667,0.014861719696969694,0.1219086530848803,0.753,0.64275,0.8995,0.613,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.703125,medium,4.191150398850309,3.674199126413115,MGC,1.0
BGC0001323,17,289,17,8,15.811,6.811,0.9300588235294117,0.851375,0.01742255357142857,0.1319945209901857,0.8885000000000001,0.932,1.0,0.653,1.0,1.0,0.0,0.0,2.833213344056216,4.123105625617661,0.3,3.1001960784313725,medium,4.773371036940686,4.177256721443739,MIBiG,0.5555555555555556
RANDOM_MGC_52,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_87,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_97,4,16,4,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.3862943611198906,2.0,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_12,11,121,11,0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.3978952727983707,3.3166247903554,0.3,3.3333333333333335,medium,0.0,0.0,RANDOM,0.0
BGC0001313,280,78400,280,250,168.988,138.988,0.6035285714285714,0.555952,0.10119345150200801,0.3181091817316941,0.628,0.17575,0.92225,0.143,1.0,0.6785714285714286,0.007142857142857143,0.3142857142857143,5.634789603169249,16.73320053068151,0.3,2.011761904761905,large,0.9541647612189309,0.8046042513035039,MIBiG,0.9
RANDOM_MGC_17,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_104,25,625,25,8,20.832,3.8320000000000003,0.83328,0.47900000000000004,0.09819714285714289,0.3133642335320719,0.435,0.933,1.0,0.113,1.0,0.76,0.16,0.08,3.2188758248682006,5.0,0.3,2.7776,medium,1.701789620305919,0.5712202633415084,RANDOM,0.11764705882352941
RANDOM_MGC_69,5,25,5,0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.6094379124341003,2.23606797749979,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_43,5,25,5,0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.6094379124341003,2.23606797749979,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
