name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,total_interactions,mean_score,std_score,median_score,high_score_interactions,medium_score_interactions,low_score_interactions,category
MGC_CANDIDATE_219,2,4,2,2,-577.0,-577.0,-288.5,-288.5,28432.7044,168.62,-288.5,-372.81,-204.19,-457.12,-119.88,1.0,0.0,0.0,0.6931471805599453,1.4142135623730951,-30.0,9.616666666666667,small,-1.533032854940102,-1.533032854940102,2,-288.5,168.62,-288.5,2,0,0,KEGG_MGC
MGC_CANDIDATE_2,6,36,6,6,-344.365,-344.365,-57.39416666666667,-57.39416666666667,1771.4835371388888,42.08899543988771,-59.8485,-97.29375,-18.18225,-107.913,-2.686,0.5,0.1666666666666666,0.3333333333333333,1.791759469228055,2.449489742783178,-30.0,1.913138888888889,small,-0.6508629246281615,-0.6508629246281615,6,-57.39416666666667,42.08899543988771,-59.8485,3,1,2,KEGG_MGC
MGC_CANDIDATE_1,6,36,6,6,-7.376999999999999,-7.376999999999999,-1.2294999999999998,-1.2294999999999998,95.15197725,9.754587497685383,-2.449,-10.6925,7.0005,-11.582,12.393,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,0.0409833333333333,small,2.949432767590306,2.949432767590306,6,-1.2294999999999998,9.754587497685383,-2.449,0,0,6,KEGG_MGC
MGC_CANDIDATE_7,6,36,6,6,-217.56,-217.56,-36.26,-36.26,546.2444209999999,23.37187243247746,-36.489,-59.37425,-13.6105,-64.091,-7.504,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.791759469228055,2.449489742783178,-30.0,1.2086666666666666,small,-0.267843323982084,-0.267843323982084,6,-36.26,23.37187243247746,-36.489,2,2,2,KEGG_MGC
MGC_CANDIDATE_19,6,36,6,6,-213.812,-213.812,-35.635333333333335,-35.635333333333335,1696.7418382222222,41.19152629148648,-31.252,-69.46875,0.778,-94.481,13.926,0.5,0.0,0.5,1.791759469228055,2.449489742783178,-30.0,1.1878444444444445,small,-0.1368080729384881,-0.1368080729384881,6,-35.635333333333335,41.19152629148648,-31.252,3,0,3,KEGG_MGC
MGC_CANDIDATE_4,6,36,6,6,82.029,82.029,13.6715,13.6715,8.044831583333336,2.836341231821964,14.474,13.02575,15.29525,8.027,16.942,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.4557166666666666,small,15.397124827588886,15.397124827588886,6,13.6715,2.836341231821964,14.474,0,0,6,KEGG_MGC
MGC_CANDIDATE_23,6,36,6,6,70.32300000000001,70.32300000000001,11.7205,11.7205,7.606383916666668,2.7579673523569253,11.819,9.426,13.9885,8.067,15.278,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.3906833333333334,small,15.127263912078645,15.127263912078645,6,11.7205,2.7579673523569253,11.819,0,0,6,KEGG_MGC
MGC_CANDIDATE_5,6,36,6,6,-644.547,-644.547,-107.4245,-107.4245,808.4240709166667,28.432799210008618,-112.4995,-127.5485,-106.581,-133.966,-48.409,0.8333333333333334,0.1666666666666666,0.0,1.791759469228055,2.449489742783178,-30.0,3.5808166666666668,small,-2.7230699104977973,-2.7230699104977973,6,-107.4245,28.432799210008618,-112.4995,5,1,0,KEGG_MGC
MGC_CANDIDATE_20,6,36,6,6,-714.575,-714.575,-119.09583333333336,-119.09583333333336,1106.423511138889,33.26294501602179,-107.7355,-123.8105,-102.5325,-187.023,-82.114,1.0,0.0,0.0,1.791759469228055,2.449489742783178,-30.0,3.969861111111112,small,-2.678531118949885,-2.678531118949885,6,-119.09583333333336,33.26294501602179,-107.7355,6,0,0,KEGG_MGC
MGC_CANDIDATE_24,6,36,6,6,-677.08,-677.08,-112.84666666666668,-112.84666666666668,3709.002044555557,60.9015767000786,-86.979,-137.35850000000002,-66.937,-230.663,-58.051,1.0,0.0,0.0,1.791759469228055,2.449489742783178,-30.0,3.761555555555556,small,-1.360336975751233,-1.360336975751233,6,-112.84666666666668,60.9015767000786,-86.979,6,0,0,KEGG_MGC
