group_name,dataset_group,num_promoters,num_comparisons,similarity_score,correlation_score,similarity_category,correlation_category,size_adjustment_factor,comparison_weight,std_adjustment_factor,correlation_adjustment_factor,similarity_std,mean_proximal_similarity,mean_distal_similarity,correlation_std,mean_proximal_correlation,mean_distal_correlation,num_tfbs_types_found,status,error_msg
BGC0000669,MiBIG,3,3,57.77,54.44,High Similarity,High Correlation,0.92,0.85,1.0,1.0,10.66,0.575,0.584,3.03,0.574,0.475,22.0,success,
BGC0000670,MiBIG,4,6,65.25,35.01,High Similarity,Moderate Correlation,0.96,0.95,1.0,0.95,8.91,0.676,0.599,15.95,0.236,0.616,25.0,success,
BGC0000798,MiBIG,4,6,49.41,46.31,Moderate Similarity,Moderate Correlation,0.96,0.95,1.0,0.95,7.91,0.464,0.565,15.39,0.483,0.417,24.0,success,
BGC0001323,MiBIG,7,21,56.06,39.79,High Similarity,Moderate Correlation,0.943,1.0,1.0,0.95,9.93,0.547,0.593,18.6,0.366,0.473,23.0,success,
BGC0001318,MiBIG,9,36,49.49,55.7,Moderate Similarity,High Correlation,0.911,1.0,1.0,0.95,9.93,0.465,0.564,15.77,0.524,0.634,26.0,success,
BGC0001314,MiBIG,11,55,54.43,50.51,High Similarity,High Correlation,0.891,1.0,1.0,1.0,9.88,0.515,0.613,14.0,0.499,0.52,27.0,success,
BGC0001313,MiBIG,15,105,59.21,56.36,High Similarity,High Correlation,0.867,1.0,1.0,1.0,8.85,0.589,0.6,14.52,0.529,0.645,25.0,success,
BGC0002389,MiBIG,2,1,49.12,62.28,Moderate Similarity,High Correlation,0.88,0.7,1.0,1.0,,0.5,0.471,,0.807,0.193,18.0,success,
BGC0002391,MiBIG,2,1,44.67,79.14,Moderate Similarity,Very High Correlation,0.88,0.7,1.0,1.0,,0.467,0.4,,0.822,0.719,21.0,success,
BGC0001799,MiBIG,5,10,62.56,65.08,High Similarity,High Correlation,1.0,1.0,1.0,1.0,13.57,0.659,0.547,7.07,0.653,0.647,23.0,success,
BGC0002397,MiBIG,2,1,43.0,68.35,Moderate Similarity,High Correlation,0.88,0.7,1.0,1.0,,0.4,0.5,,0.654,0.753,22.0,success,
BGC0002398,MiBIG,2,1,36.88,4.62,Moderate Similarity,Very Low Correlation,0.88,0.7,1.0,1.0,,0.312,0.5,,0.0,0.154,20.0,success,
BGC0001756,MiBIG,6,15,56.62,63.45,High Similarity,High Correlation,0.967,1.0,1.0,0.9,10.93,0.544,0.618,20.26,0.571,0.781,26.0,success,
BGC0002390,MiBIG,7,21,55.74,72.81,High Similarity,Very High Correlation,0.943,1.0,1.0,0.95,8.89,0.564,0.542,16.06,0.739,0.704,28.0,success,
BGC0002400,MiBIG,3,3,54.07,69.01,High Similarity,High Correlation,0.92,0.85,1.0,1.0,1.53,0.48,0.681,13.44,0.696,0.676,22.0,success,
BGC0002399,MiBIG,4,6,48.26,57.77,Moderate Similarity,High Correlation,0.96,0.95,1.0,1.0,6.87,0.478,0.494,7.61,0.548,0.648,26.0,success,
BGC0002402,MiBIG,4,6,49.18,59.29,Moderate Similarity,High Correlation,0.96,0.95,1.0,1.0,8.37,0.475,0.532,13.84,0.582,0.618,23.0,success,
MGC_CANDIDATE_1000,KEGG,3,3,57.28,82.77,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,13.25,0.545,0.637,8.06,0.785,0.928,24.0,success,
MGC_CANDIDATE_1001,KEGG,4,6,40.7,88.12,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,7.84,0.344,0.554,1.46,0.906,0.824,27.0,success,
MGC_CANDIDATE_1003,KEGG,3,3,46.94,81.96,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,2.81,0.417,0.593,6.57,0.906,0.619,27.0,success,
MGC_CANDIDATE_1002,KEGG,4,6,59.71,66.55,High Similarity,High Correlation,0.96,0.95,1.0,1.0,7.38,0.579,0.64,9.67,0.613,0.788,24.0,success,
BGC0001997,MiBIG,12,66,45.89,42.06,Moderate Similarity,Moderate Correlation,0.883,1.0,0.9,0.9,21.49,0.446,0.49,25.65,0.386,0.501,26.0,success,
BGC0002401,MiBIG,8,28,55.92,50.01,High Similarity,High Correlation,0.925,1.0,1.0,0.95,5.8,0.542,0.6,17.86,0.503,0.494,26.0,success,
MGC_CANDIDATE_1004,KEGG,4,6,54.74,76.23,High Similarity,Very High Correlation,0.96,0.95,1.0,0.95,2.92,0.497,0.665,15.44,0.796,0.684,25.0,success,
MGC_CANDIDATE_1005,KEGG,4,6,59.63,79.24,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,10.89,0.572,0.653,4.14,0.843,0.674,24.0,success,
MGC_CANDIDATE_1006,KEGG,4,6,51.87,62.73,High Similarity,High Correlation,0.96,0.95,1.0,1.0,8.29,0.486,0.595,11.03,0.555,0.796,27.0,success,
MGC_CANDIDATE_1007,KEGG,3,3,51.71,49.92,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.95,9.67,0.506,0.542,18.3,0.474,0.558,23.0,success,
MGC_CANDIDATE_1008,KEGG,3,3,61.1,62.17,High Similarity,High Correlation,0.92,0.85,1.0,1.0,7.43,0.638,0.548,2.24,0.658,0.538,22.0,success,
MGC_CANDIDATE_1009,KEGG,4,6,53.74,49.53,High Similarity,Moderate Correlation,0.96,0.95,1.0,1.0,8.11,0.51,0.601,8.28,0.476,0.539,26.0,success,
MGC_CANDIDATE_100,KEGG,3,3,44.48,40.63,Moderate Similarity,Moderate Correlation,0.92,0.85,0.95,0.9,17.32,0.433,0.473,34.42,0.252,0.766,23.0,success,
MGC_CANDIDATE_1012,KEGG,3,3,51.19,49.88,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.9,6.92,0.456,0.643,22.46,0.404,0.72,21.0,success,
MGC_CANDIDATE_1010,KEGG,4,6,51.69,52.41,High Similarity,High Correlation,0.96,0.95,1.0,1.0,7.72,0.493,0.573,9.13,0.52,0.534,26.0,success,
MGC_CANDIDATE_1011,KEGG,4,6,55.61,54.55,High Similarity,High Correlation,0.96,0.95,1.0,1.0,7.52,0.539,0.597,10.62,0.519,0.608,23.0,success,
MGC_CANDIDATE_1013,KEGG,3,3,47.31,63.53,Moderate Similarity,High Correlation,0.92,0.85,0.95,1.0,18.34,0.412,0.617,10.07,0.628,0.652,25.0,success,
MGC_CANDIDATE_1015,KEGG,3,3,52.64,63.26,High Similarity,High Correlation,0.92,0.85,1.0,1.0,3.0,0.511,0.562,3.71,0.69,0.498,22.0,success,
MGC_CANDIDATE_1016,KEGG,3,3,48.52,56.74,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,8.35,0.426,0.622,7.64,0.509,0.703,22.0,success,
MGC_CANDIDATE_1017,KEGG,3,3,60.52,74.86,High Similarity,Very High Correlation,0.92,0.85,0.9,1.0,22.03,0.589,0.644,6.54,0.819,0.585,20.0,success,
MGC_CANDIDATE_1018,KEGG,3,3,53.92,60.09,High Similarity,High Correlation,0.92,0.85,1.0,1.0,2.2,0.521,0.582,9.36,0.619,0.559,21.0,success,
MGC_CANDIDATE_1014,KEGG,5,10,58.44,57.63,High Similarity,High Correlation,1.0,1.0,1.0,1.0,10.12,0.564,0.633,8.2,0.582,0.562,22.0,success,
MGC_CANDIDATE_101,KEGG,3,3,62.14,61.81,High Similarity,High Correlation,0.92,0.85,1.0,1.0,2.69,0.602,0.666,10.58,0.661,0.519,23.0,success,
MGC_CANDIDATE_1020,KEGG,3,3,50.48,56.77,High Similarity,High Correlation,0.92,0.85,1.0,1.0,7.09,0.519,0.473,14.73,0.574,0.553,23.0,success,
MGC_CANDIDATE_1019,KEGG,4,6,47.71,64.84,Moderate Similarity,High Correlation,0.96,0.95,1.0,1.0,8.16,0.444,0.554,10.12,0.644,0.66,25.0,success,
MGC_CANDIDATE_1021,KEGG,3,3,41.94,42.58,Moderate Similarity,Moderate Correlation,0.92,0.85,1.0,0.95,5.13,0.354,0.572,17.64,0.331,0.646,25.0,success,
MGC_CANDIDATE_1022,KEGG,4,6,54.86,46.64,High Similarity,Moderate Correlation,0.96,0.95,1.0,0.9,8.65,0.546,0.554,24.06,0.441,0.525,23.0,success,
MGC_CANDIDATE_1024,KEGG,3,3,51.65,53.38,High Similarity,High Correlation,0.92,0.85,1.0,1.0,6.39,0.479,0.603,4.56,0.533,0.535,24.0,success,
MGC_CANDIDATE_1025,KEGG,3,3,56.83,37.29,High Similarity,Moderate Correlation,0.92,0.85,1.0,1.0,3.78,0.608,0.475,7.3,0.353,0.42,26.0,success,
MGC_CANDIDATE_1028,KEGG,3,3,0.0,0.0,Very Low Similarity,Very Low Correlation,0.92,0.85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,
MGC_CANDIDATE_1026,KEGG,4,6,62.07,55.75,High Similarity,High Correlation,0.96,0.95,1.0,1.0,12.97,0.634,0.588,14.52,0.481,0.737,24.0,success,
MGC_CANDIDATE_1027,KEGG,3,3,49.53,45.6,Moderate Similarity,Moderate Correlation,0.92,0.85,1.0,1.0,7.85,0.537,0.399,12.13,0.448,0.476,22.0,success,
MGC_CANDIDATE_1023,KEGG,5,10,52.72,55.75,High Similarity,High Correlation,1.0,1.0,1.0,0.95,9.73,0.479,0.64,19.91,0.535,0.609,25.0,success,
MGC_CANDIDATE_1029,KEGG,3,3,19.63,25.09,Low Similarity,Low Correlation,0.92,0.85,0.9,0.9,34.0,0.185,0.222,43.46,0.228,0.305,21.0,success,
MGC_CANDIDATE_1030,KEGG,3,3,41.82,59.22,Moderate Similarity,High Correlation,0.92,0.85,1.0,0.95,10.62,0.405,0.449,16.52,0.557,0.675,18.0,success,
MGC_CANDIDATE_1031,KEGG,4,6,20.76,20.92,Low Similarity,Low Correlation,0.96,0.95,0.9,0.9,23.04,0.165,0.307,26.62,0.248,0.12,18.0,success,
MGC_CANDIDATE_1032,KEGG,3,3,53.82,53.09,High Similarity,High Correlation,0.92,0.85,1.0,1.0,6.68,0.444,0.757,7.67,0.487,0.633,20.0,success,
MGC_CANDIDATE_102,KEGG,4,6,60.93,55.92,High Similarity,High Correlation,0.96,0.95,1.0,1.0,6.34,0.63,0.561,12.77,0.458,0.796,25.0,success,
MGC_CANDIDATE_1035,KEGG,3,3,0.0,0.0,Very Low Similarity,Very Low Correlation,0.92,0.85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,
