Number of clusters: 2636
Average cluster size: 17.83
Cluster: BGC0002977.1, Number of genes: 4117
Cluster: BGC0000081.5, Number of genes: 115
Cluster: BGC0001281.3, Number of genes: 114
Cluster: BGC0000413.5, Number of genes: 109
Cluster: BGC0001381.5, Number of genes: 101
Cluster: BGC0000093.5, Number of genes: 92
Cluster: BGC0002859.1, Number of genes: 86
Cluster: BGC0002686.2, Number of genes: 81
Cluster: BGC0002379.3, Number of genes: 77
Cluster: BGC0002676.2, Number of genes: 76
Cluster: BGC0000078.5, Number of genes: 75
Cluster: BGC0000033.5, Number of genes: 74
Cluster: BGC0001877.4, Number of genes: 72
Cluster: BGC0003042.1, Number of genes: 72
Cluster: BGC0001101.5, Number of genes: 71
Cluster: BGC0001503.4, Number of genes: 70
Cluster: BGC0002657.2, Number of genes: 70
Cluster: BGC0002011.3, Number of genes: 69
Cluster: BGC0001055.5, Number of genes: 68
Cluster: BGC0002430.3, Number of genes: 68
Cluster: BGC0000700.5, Number of genes: 67
Cluster: BGC0001522.5, Number of genes: 67
Cluster: BGC0000965.5, Number of genes: 66
Cluster: BGC0000223.5, Number of genes: 65
Cluster: BGC0000240.5, Number of genes: 65
Cluster: BGC0000696.5, Number of genes: 65
Cluster: BGC0000136.5, Number of genes: 64
Cluster: BGC0002919.1, Number of genes: 64
Cluster: BGC0001759.3, Number of genes: 63
Cluster: BGC0002571.2, Number of genes: 63
Cluster: BGC0002892.1, Number of genes: 63
Cluster: BGC0000187.5, Number of genes: 62
Cluster: BGC0001856.4, Number of genes: 62
Cluster: BGC0000780.3, Number of genes: 61
Cluster: BGC0001073.5, Number of genes: 61
Cluster: BGC0000291.5, Number of genes: 60
Cluster: BGC0001183.5, Number of genes: 60
Cluster: BGC0001693.3, Number of genes: 60
Cluster: BGC0001060.5, Number of genes: 59
Cluster: BGC0002520.2, Number of genes: 59
Cluster: BGC0002541.2, Number of genes: 59
Cluster: BGC0000141.5, Number of genes: 58
Cluster: BGC0000241.5, Number of genes: 58
Cluster: BGC0001397.5, Number of genes: 58
Cluster: BGC0001675.5, Number of genes: 58
Cluster: BGC0003023.1, Number of genes: 58
Cluster: BGC0000238.5, Number of genes: 57
Cluster: BGC0001584.5, Number of genes: 56
Cluster: BGC0001963.2, Number of genes: 56
Cluster: BGC0002141.3, Number of genes: 56
Cluster: BGC0002523.2, Number of genes: 56
Cluster: BGC0002873.1, Number of genes: 56
Cluster: BGC0000268.5, Number of genes: 55
Cluster: BGC0000288.5, Number of genes: 55
Cluster: BGC0000289.5, Number of genes: 55
Cluster: BGC0000806.5, Number of genes: 55
Cluster: BGC0001783.5, Number of genes: 55
Cluster: BGC0002932.1, Number of genes: 54
Cluster: BGC0000087.5, Number of genes: 53
Cluster: BGC0000119.5, Number of genes: 53
Cluster: BGC0000440.5, Number of genes: 53
Cluster: BGC0001731.5, Number of genes: 53
Cluster: BGC0001732.5, Number of genes: 53
Cluster: BGC0001979.4, Number of genes: 53
Cluster: BGC0000163.5, Number of genes: 52
Cluster: BGC0001558.5, Number of genes: 52
Cluster: BGC0002100.2, Number of genes: 52
Cluster: BGC0002376.2, Number of genes: 52
Cluster: BGC0001568.5, Number of genes: 51
Cluster: BGC0001764.4, Number of genes: 51
Cluster: BGC0002452.2, Number of genes: 51
Cluster: BGC0001072.5, Number of genes: 50
Cluster: BGC0001848.4, Number of genes: 50
Cluster: BGC0002085.3, Number of genes: 50
Cluster: BGC0000144.5, Number of genes: 49
Cluster: BGC0000279.5, Number of genes: 49
Cluster: BGC0000429.4, Number of genes: 49
Cluster: BGC0000441.4, Number of genes: 49
Cluster: BGC0001409.5, Number of genes: 49
Cluster: BGC0002498.3, Number of genes: 49
Cluster: BGC0002982.1, Number of genes: 49
Cluster: BGC0000262.5, Number of genes: 48
Cluster: BGC0000341.5, Number of genes: 48
Cluster: BGC0001058.5, Number of genes: 48
Cluster: BGC0002097.3, Number of genes: 48
Cluster: BGC0002552.2, Number of genes: 48
Cluster: BGC0000150.4, Number of genes: 47
Cluster: BGC0000422.5, Number of genes: 47
Cluster: BGC0000960.5, Number of genes: 47
Cluster: BGC0002124.3, Number of genes: 47
Cluster: BGC0002426.3, Number of genes: 47
Cluster: BGC0003114.1, Number of genes: 47
Cluster: BGC0000112.5, Number of genes: 46
Cluster: BGC0000222.5, Number of genes: 46
Cluster: BGC0000242.5, Number of genes: 46
Cluster: BGC0000269.5, Number of genes: 46
Cluster: BGC0001178.5, Number of genes: 46
Cluster: BGC0001288.5, Number of genes: 46
Cluster: BGC0001303.5, Number of genes: 46
Cluster: BGC0001818.4, Number of genes: 46
Cluster: BGC0001879.4, Number of genes: 46
Cluster: BGC0002136.3, Number of genes: 46
Cluster: BGC0002455.3, Number of genes: 46
Cluster: BGC0000162.5, Number of genes: 45
Cluster: BGC0000202.5, Number of genes: 45
Cluster: BGC0001931.2, Number of genes: 45
Cluster: BGC0002009.4, Number of genes: 45
Cluster: BGC0002033.4, Number of genes: 45
