cluster_name,classification_label,num_distinct_enzyme_classes,num_distinct_enzyme_subfamilies,total_ec_numbers,enzyme_classes,enzyme_subfamilies,all_ec_numbers,e2p2_file
MGC_CANDIDATE_70,1,1,1,5,2,2.1,2.1.1.104;2.1.1.104;2.1.1.336;2.1.1.104;2.1.1.104,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_70/MGC_CANDIDATE_70.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_67,1,0,0,0,,,,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_67/MGC_CANDIDATE_67.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_10,1,3,3,4,1;4;6,1.3;4.2;6.4,6.4.1.4;1.3.8.4;6.4.1.4;4.2.1.18,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_10/MGC_CANDIDATE_10.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_30,1,1,1,5,2,2.3,2.3.1.119;2.3.1.199;2.3.1.119;2.3.1.199;2.3.1.199,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_30/MGC_CANDIDATE_30.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_31,1,1,1,4,1,1.2,1.2.1.44;1.2.1.44;1.2.1.44;1.2.1.44,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_31/MGC_CANDIDATE_31.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_57,1,1,1,6,2,2.1,2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_57/MGC_CANDIDATE_57.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_15,1,1,1,4,3,3.2,3.2.1.15;3.2.1.15;3.2.1.67;3.2.1.67,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_15/MGC_CANDIDATE_15.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_43,1,1,2,4,3,3.1;3.2,3.1.1.11;3.1.1.11;3.2.1.15;3.2.1.67,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_43/MGC_CANDIDATE_43.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_8,1,1,1,6,1,1.1,1.1.1.194;1.1.1.195;1.1.1.195;1.1.1.194;1.1.1.195;1.1.1.91,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_8/MGC_CANDIDATE_8.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_55,1,1,1,4,2,2.1,2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_55/MGC_CANDIDATE_55.MaxWeightAbsoluteThreshold.default.pf
